name	role	week	elims	deaths	damage	healing	ults	final_blows
Geguri	tank	Week 4	215	65	81717	0	45	63
Gesture	tank	Week 4	500	168	230023	0	138	162
Gido	support	Week 4	212	119	182533	244889	113	51
GodsB	offense	Week 4	685	167	394925	2266	163	222
Guard	offense	Week 4	397	95	134883	153557	114	81
GuardiaN	tank	Week 4	14	10	11256	0	7	3
Guxue	tank	Week 4	280	101	151239	0	84	85
HaGoPeun	support	Week 4	428	171	188083	315854	145	112
Haksal	offense	Week 4	678	126	193268	322772	174	163
Happy	offense	Week 4	587	133	347278	30651	160	189
HOTBA	tank	Week 4	597	106	227151	163	97	180
Hydration	offense	Week 4	626	213	217435	375350	206	115
Hyeonu	support	Week 4	16	15	8560	17911	9	2
HyP	support	Week 4	382	161	184268	280209	125	98
iDK	support	Week 4	474	145	168751	203054	116	73
ivy	offense	Week 4	863	209	481304	650	210	289
IZaYaKI	support	Week 4	616	210	337048	454201	215	169
Jake	offense	Week 4	386	145	125525	157222	108	112
Janus	tank	Week 4	255	169	159623	0	98	83
Jecse	support	Week 4	354	109	99423	142360	80	55
JinMu	offense	Week 4	569	229	292195	180205	183	215
JJANU	tank	Week 4	763	84	235355	2	76	208
JJONAK	support	Week 4	611	101	295489	302175	157	173
KariV	offense	Week 4	707	182	409325	1167	191	206
Kellex	support	Week 4	415	145	152548	195688	112	63
Kodak	support	Week 4	130	44	66985	86914	44	35
Kris	support	Week 4	428	145	124284	168713	92	83
Kruise	support	Week 4	345	156	137633	153237	96	79
KSF	offense	Week 4	49	13	31992	0	14	16
KuKi	tank	Week 4	385	144	120420	180550	95	62
Kyb	offense	Week 4	270	66	84448	155309	87	68
Kyo	support	Week 4	470	175	213896	294240	164	115
lateyoung	tank	Week 4	320	104	165025	2707	80	84
Libero	offense	Week 4	581	106	145814	256817	139	127
LiNkzr	offense	Week 4	292	85	110425	77885	78	94
Luffy	support	Week 4	616	182	279499	337496	168	146
Mano	tank	Week 4	590	144	260936	0	162	187
Marve1	tank	Week 4	91	26	40574	0	28	21
Masaa	support	Week 4	440	123	137770	160630	98	83
Mcgravy	tank	Week 4	80	19	33868	0	19	22
MekO	tank	Week 4	707	95	236466	371	101	203
Michelle	tank	Week 4	497	78	193671	553	60	132
moth	support	Week 4	528	143	169030	277418	136	90
Muma	tank	Week 4	544	209	259202	0	147	183
Munchkin	offense	Week 4	437	128	145862	206842	130	96
Neko	support	Week 4	321	70	157503	215797	107	96
Nenne	offense	Week 4	734	92	382552	1	173	244
neptuNo	support	Week 4	505	148	161494	160730	110	92
Nevix	tank	Week 4	153	35	55633	112	25	40
NiCOgdh	offense	Week 4	394	166	133665	246270	131	74
NLaaeR	offense	Week 4	126	65	49526	61804	45	36
NoSmite	tank	Week 4	255	116	114620	0	71	79
NotE	tank	Week 4	639	179	250945	370	142	209
NUS	support	Week 4	413	104	131025	194655	103	53
OGE	tank	Week 4	504	203	240227	0	127	170
Poko	tank	Week 4	596	118	230008	190	132	165
Pokpo	tank	Week 4	459	161	207933	0	124	121
Profit	offense	Week 4	592	122	291405	107814	162	176
RAPEL	support	Week 4	66	13	25745	26045	15	23
Rascal	offense	Week 4	325	87	107656	215644	108	78
Rawkus	support	Week 4	444	160	222014	283644	139	116
rCk	tank	Week 4	542	110	219509	3505	145	148
Revenge	support	Week 4	56	32	43885	59098	30	13
Ria	tank	Week 4	631	175	254954	677	115	201
Rio	tank	Week 4	549	164	261787	0	156	179
rOar	tank	Week 4	592	243	318335	0	191	186
RoKy	support	Week 4	577	168	183696	255632	131	85
ryujehong	support	Week 4	477	135	221746	320981	157	116
Sado	tank	Week 4	576	225	250770	0	140	169
Saebyeolbe	offense	Week 4	13	8	5324	11557	6	1
Sansam	tank	Week 4	301	113	146178	207	66	84
sayaplayer	offense	Week 4	22	8	16851	667	6	13
SeoMinSoo	offense	Week 4	706	97	375553	1726	162	236
ShaDowBurn	offense	Week 4	115	67	95729	0	47	28
Shaz	support	Week 4	587	159	315873	446364	210	143
shu	support	Week 4	514	111	258977	356605	176	139
sinatraa	offense	Week 4	756	135	490483	6401	204	221
sleepy	support	Week 4	182	36	96011	136499	64	43
SLIME	support	Week 4	539	108	153488	203346	109	89
Smurf	tank	Week 4	83	27	43026	0	26	32
snillo	offense	Week 4	9	5	2929	4371	2	2
SoOn	offense	Week 4	336	103	164112	829	74	87
SPACE	tank	Week 4	749	142	288907	11	175	217
SPREE	tank	Week 4	356	101	168901	33	89	107
Stellar	offense	Week 4	734	192	209009	361785	199	179
Stitch	offense	Week 4	22	16	16218	0	8	11
Stratus	offense	Week 4	21	17	13239	24922	11	7
STRIKER	offense	Week 4	30	15	17953	0	9	14
super	tank	Week 4	549	178	301374	0	168	197
Surefour	offense	Week 4	326	87	191243	641	91	95
SWoN	tank	Week 4	537	214	225914	0	125	173
tobi	support	Week 4	85	16	25015	35789	17	19
TviQ	offense	Week 4	408	101	128948	138955	100	100
Twilight	support	Week 4	530	126	242063	289232	156	145
uNKOE	support	Week 4	490	152	226946	293532	147	129
Viol2t	support	Week 4	424	104	250602	315597	146	95
Void	tank	Week 4	776	120	300540	19	83	201
xepheR	tank	Week 4	488	121	182624	668	95	174
Yakpung	tank	Week 4	645	267	276631	0	159	203
YOUNGJIN	offense	Week 4	608	179	185712	252938	151	147
Yveltal	support	Week 4	276	162	95963	268308	128	41
ZachaREEE	offense	Week 4	536	173	161175	281855	156	121
ZUNBA	tank	Week 4	118	15	46160	0	14	30
