name	role	week	elims	deaths	damage	healing	ults	final_blows
JJONAK	support	Week 5	611	101	295489	302175	157	173
KariV	offense	Week 5	707	182	409325	1167	191	206
Kellex	support	Week 5	515	176	182938	240132	135	82
Kodak	support	Week 5	166	61	85868	113430	58	47
Kris	support	Week 5	547	169	159675	207906	114	100
Kruise	support	Week 5	481	190	189634	211614	130	105
KSF	offense	Week 5	49	13	31992	0	14	16
KuKi	tank	Week 5	385	144	120420	180550	95	62
Kyb	offense	Week 5	299	77	104235	162840	100	75
Kyo	support	Week 5	557	204	248442	342057	188	140
lateyoung	tank	Week 5	404	114	197748	2721	93	112
Libero	offense	Week 5	581	106	145814	256817	139	127
LiNkzr	offense	Week 5	292	85	110425	77885	78	94
Luffy	support	Week 5	616	182	279499	337496	168	146
Mano	tank	Week 5	590	144	260936	0	162	187
Marve1	tank	Week 5	91	26	40574	0	28	21
Masaa	support	Week 5	600	178	187990	212012	130	103
Mcgravy	tank	Week 5	115	29	50856	0	30	27
MekO	tank	Week 5	707	95	236466	371	101	203
Michelle	tank	Week 5	628	89	245684	553	79	178
moth	support	Week 5	528	143	169030	277418	136	90
Muma	tank	Week 5	635	241	296586	0	165	216
Munchkin	offense	Week 5	553	150	182455	261795	163	120
Neko	support	Week 5	321	70	157503	215797	107	96
Nenne	offense	Week 5	734	92	382552	1	173	244
neptuNo	support	Week 5	595	161	185503	182446	126	104
Nevix	tank	Week 5	153	35	55633	112	25	40
NiCOgdh	offense	Week 5	541	224	187789	341450	183	96
NLaaeR	offense	Week 5	126	65	49526	61804	45	36
NoSmite	tank	Week 5	255	116	114620	0	71	79
NotE	tank	Week 5	773	208	295350	370	164	248
NUS	support	Week 5	484	125	157840	227712	122	61
OGE	tank	Week 5	642	240	307099	0	159	213
Poko	tank	Week 5	695	127	259657	190	153	192
Pokpo	tank	Week 5	620	235	274727	0	161	176
Profit	offense	Week 5	687	152	349881	107814	188	199
RAPEL	support	Week 5	66	13	25745	26045	15	23
Rascal	offense	Week 5	325	87	107656	215644	108	78
Rawkus	support	Week 5	523	176	256246	326727	162	141
rCk	tank	Week 5	658	140	277104	4482	186	174
Revenge	support	Week 5	56	32	43885	59098	30	13
Ria	tank	Week 5	631	175	254954	677	115	201
Rio	tank	Week 5	602	199	292782	0	176	199
rOar	tank	Week 5	592	243	318335	0	191	186
RoKy	support	Week 5	577	168	183696	255632	131	85
ryujehong	support	Week 5	574	156	265434	376105	181	138
Sado	tank	Week 5	677	248	294730	0	165	208
Saebyeolbe	offense	Week 5	13	8	5324	11557	6	1
Sansam	tank	Week 5	542	159	242369	207	107	159
sayaplayer	offense	Week 5	22	8	16851	667	6	13
SeoMinSoo	offense	Week 5	806	111	420612	1726	184	264
ShaDowBurn	offense	Week 5	161	94	133370	0	66	34
Shaz	support	Week 5	587	159	315873	446364	210	143
shu	support	Week 5	559	133	289794	399733	201	149
sinatraa	offense	Week 5	756	135	490483	6401	204	221
sleepy	support	Week 5	182	36	96011	136499	64	43
SLIME	support	Week 5	610	122	171630	229496	121	100
Smurf	tank	Week 5	83	27	43026	0	26	32
snillo	offense	Week 5	9	5	2929	4371	2	2
SoOn	offense	Week 5	438	134	234633	829	105	118
SPACE	tank	Week 5	749	142	288907	11	175	217
SPREE	tank	Week 5	447	125	211497	33	110	132
Stellar	offense	Week 5	734	192	209009	361785	199	179
Stitch	offense	Week 5	22	16	16218	0	8	11
Stratus	offense	Week 5	26	23	16944	30487	13	8
STRIKER	offense	Week 5	30	15	17953	0	9	14
super	tank	Week 5	549	178	301374	0	168	197
Surefour	offense	Week 5	326	87	191243	641	91	95
SWoN	tank	Week 5	683	259	289567	0	159	232
tobi	support	Week 5	85	16	25015	35789	17	19
TviQ	offense	Week 5	408	101	128948	138955	100	100
Twilight	support	Week 5	605	147	271510	334442	182	172
uNKOE	support	Week 5	591	190	278744	362497	176	155
Viol2t	support	Week 5	424	104	250602	315597	146	95
Void	tank	Week 5	776	120	300540	19	83	201
xepheR	tank	Week 5	623	142	236859	668	121	208
Yakpung	tank	Week 5	645	267	276631	0	159	203
YOUNGJIN	offense	Week 5	608	179	185712	252938	151	147
Yveltal	support	Week 5	333	185	107682	309087	145	49
ZachaREEE	offense	Week 5	652	209	193034	347627	190	141
ZUNBA	tank	Week 5	118	15	46160	0	14	30
