name	role	week	elims	deaths	damage	healing	ults	final_blows
GodsB	offense	Week 3	589	139	336568	2266	139	191
Guard	offense	Week 3	317	68	105946	131334	90	62
Guxue	tank	Week 3	199	70	109225	0	60	58
HaGoPeun	support	Week 3	356	145	143491	253634	117	88
Haksal	offense	Week 3	399	84	120358	199919	108	101
Happy	offense	Week 3	491	117	277040	30651	129	165
HOTBA	tank	Week 3	506	92	187637	163	85	156
Hydration	offense	Week 3	454	168	159592	273693	152	91
Hyeonu	support	Week 3	16	15	8560	17911	9	2
HyP	support	Week 3	261	84	105575	150886	69	71
iDK	support	Week 3	407	117	141492	172828	98	65
ivy	offense	Week 3	644	156	359066	650	158	207
IZaYaKI	support	Week 3	407	145	239320	320986	155	110
Jake	offense	Week 3	280	104	93761	109974	77	84
Janus	tank	Week 3	186	134	119544	0	73	62
Jecse	support	Week 3	354	109	99423	142360	80	55
JinMu	offense	Week 3	382	156	193245	118086	122	145
JJANU	tank	Week 3	442	59	145817	2	39	121
JJONAK	support	Week 3	496	81	229693	232159	123	134
KariV	offense	Week 3	461	126	286224	1167	130	140
Kellex	support	Week 3	339	127	129558	164923	94	56
Kodak	support	Week 3	107	36	53786	70676	36	30
Kris	support	Week 3	364	120	101162	138818	75	68
Kruise	support	Week 3	225	84	79589	82897	53	47
KSF	offense	Week 3	49	13	31992	0	14	16
KuKi	tank	Week 3	221	86	76192	124646	61	33
Kyb	offense	Week 3	205	48	62500	112396	65	50
Kyo	support	Week 3	303	124	131263	199966	108	73
lateyoung	tank	Week 3	269	85	122815	2705	60	66
Libero	offense	Week 3	496	83	117567	196283	107	111
LiNkzr	offense	Week 3	267	76	98441	77885	70	80
Luffy	support	Week 3	430	123	207470	231587	120	104
Mano	tank	Week 3	495	112	216940	0	134	157
Masaa	support	Week 3	393	96	113516	131090	81	74
Mcgravy	tank	Week 3	80	19	33868	0	19	22
MekO	tank	Week 3	579	74	192716	371	81	166
Michelle	tank	Week 3	497	78	193671	553	60	132
moth	support	Week 3	380	102	116190	203758	98	73
Muma	tank	Week 3	451	167	211585	0	117	147
Munchkin	offense	Week 3	437	128	145862	206842	130	96
Neko	support	Week 3	157	40	81381	112417	54	43
Nenne	offense	Week 3	612	74	301019	1	135	207
neptuNo	support	Week 3	420	129	131902	129613	88	81
Nevix	tank	Week 3	153	35	55633	112	25	40
NiCOgdh	offense	Week 3	266	92	80495	135926	75	49
NLaaeR	offense	Week 3	121	54	44151	52233	39	35
NoSmite	tank	Week 3	255	116	114620	0	71	79
NotE	tank	Week 3	512	159	216881	370	122	175
NUS	support	Week 3	359	81	113537	166536	89	45
OGE	tank	Week 3	399	168	194737	0	101	133
Poko	tank	Week 3	495	100	181599	190	112	138
Pokpo	tank	Week 3	414	122	176713	0	101	109
Profit	offense	Week 3	504	94	248942	94128	141	140
RAPEL	support	Week 3	17	8	11503	12180	7	6
Rascal	offense	Week 3	181	44	58693	100072	50	46
Rawkus	support	Week 3	354	130	173793	224379	110	96
rCk	tank	Week 3	408	90	171951	2891	116	113
Revenge	support	Week 3	56	32	43885	59098	30	13
Ria	tank	Week 3	552	138	216716	0	95	171
Rio	tank	Week 3	475	135	219043	0	135	157
rOar	tank	Week 3	428	191	233474	0	143	129
RoKy	support	Week 3	412	129	134969	193560	98	60
ryujehong	support	Week 3	392	119	178672	270170	133	92
Sado	tank	Week 3	479	183	204621	0	111	138
Saebyeolbe	offense	Week 3	13	8	5324	11557	6	1
Sansam	tank	Week 3	220	90	111360	207	48	65
sayaplayer	offense	Week 3	22	8	16851	667	6	13
SeoMinSoo	offense	Week 3	385	60	225196	0	97	137
Shaz	support	Week 3	429	126	240375	323401	157	109
shu	support	Week 3	436	96	210701	288290	146	118
sinatraa	offense	Week 3	532	97	329408	6401	138	148
sleepy	support	Week 3	182	36	96011	136499	64	43
SLIME	support	Week 3	322	61	92959	137551	69	52
Smurf	tank	Week 3	83	27	43026	0	26	32
snillo	offense	Week 3	9	5	2929	4371	2	2
SoOn	offense	Week 3	307	93	146542	829	66	81
SPACE	tank	Week 3	510	103	207868	11	123	150
SPREE	tank	Week 3	267	74	112958	33	64	84
Stellar	offense	Week 3	548	147	161905	264825	148	143
Stitch	offense	Week 3	22	16	16218	0	8	11
Stratus	offense	Week 3	10	9	4104	12178	5	1
STRIKER	offense	Week 3	30	15	17953	0	9	14
super	tank	Week 3	383	116	201069	0	112	140
Surefour	offense	Week 3	326	87	191243	641	91	95
SWoN	tank	Week 3	471	176	192860	0	107	146
TviQ	offense	Week 3	408	101	128948	138955	100	100
Twilight	support	Week 3	313	77	150339	185834	100	84
uNKOE	support	Week 3	381	129	185558	241507	118	97
Viol2t	support	Week 3	257	60	138855	188426	87	52
Void	tank	Week 3	566	99	228478	19	60	148
xepheR	tank	Week 3	406	93	136222	668	72	147
Yakpung	tank	Week 3	470	198	206844	0	120	139
YOUNGJIN	offense	Week 3	443	126	136491	175152	107	118
Yveltal	support	Week 3	175	120	64988	168213	79	32
ZachaREEE	offense	Week 3	421	147	130512	228119	129	98
