name	role	week	elims	deaths	damage	healing	ults	final_blows
Kyo	support	Week 1	80	35	36590	55858	30	21
lateyoung	tank	Week 1	64	21	33762	1189	17	21
Libero	offense	Week 1	172	36	45760	68779	42	40
LiNkzr	offense	Week 1	210	71	74762	77694	58	56
Luffy	support	Week 1	124	52	69754	77215	39	27
Mano	tank	Week 1	163	42	69188	0	44	44
Masaa	support	Week 1	187	61	58097	70239	41	39
MekO	tank	Week 1	188	22	65915	161	31	55
Michelle	tank	Week 1	218	30	77760	478	28	46
moth	support	Week 1	161	43	45775	87172	43	30
Muma	tank	Week 1	257	83	110974	0	62	81
Munchkin	offense	Week 1	181	58	60707	81625	52	37
Nenne	offense	Week 1	209	21	103533	0	44	68
neptuNo	support	Week 1	211	60	59284	59596	39	47
Nevix	tank	Week 1	35	10	15819	0	9	10
NiCOgdh	offense	Week 1	70	23	19130	38327	18	16
NLaaeR	offense	Week 1	68	30	21172	30281	19	13
NoSmite	tank	Week 1	142	50	55332	0	34	40
NotE	tank	Week 1	214	61	94255	0	57	77
NUS	support	Week 1	130	37	38957	63524	34	17
OGE	tank	Week 1	120	64	68418	0	38	43
Poko	tank	Week 1	234	42	81860	0	47	74
Pokpo	tank	Week 1	186	70	77555	0	44	54
Profit	offense	Week 1	165	46	55265	82728	49	49
Rascal	offense	Week 1	35	14	14447	11467	8	11
Rawkus	support	Week 1	201	72	101253	127858	64	58
rCk	tank	Week 1	108	28	54785	216	36	29
Revenge	support	Week 1	32	13	18968	31959	15	6
Ria	tank	Week 1	256	55	85739	0	39	76
Rio	tank	Week 1	133	34	51888	0	34	38
rOar	tank	Week 1	196	71	110011	0	65	63
RoKy	support	Week 1	91	36	28410	44290	22	11
ryujehong	support	Week 1	167	40	69137	110749	54	45
Sado	tank	Week 1	239	77	90580	0	46	68
Sansam	tank	Week 1	23	13	11770	0	6	4
SeoMinSoo	offense	Week 1	77	10	33050	0	12	32
Shaz	support	Week 1	175	56	106422	139471	70	49
shu	support	Week 1	118	24	40633	64520	34	30
sinatraa	offense	Week 1	196	40	120967	6320	52	62
sleepy	support	Week 1	182	36	96011	136499	64	43
SLIME	support	Week 1	69	9	15926	31720	14	11
Smurf	tank	Week 1	61	15	27703	0	17	23
SoOn	offense	Week 1	85	20	40238	0	19	31
SPACE	tank	Week 1	157	22	59451	0	28	40
SPREE	tank	Week 1	58	9	16896	33	14	17
Stellar	offense	Week 1	141	33	36825	57261	33	46
Stitch	offense	Week 1	13	9	8662	0	4	8
STRIKER	offense	Week 1	19	8	10462	0	4	8
super	tank	Week 1	129	47	68684	0	38	35
Surefour	offense	Week 1	208	54	131868	641	64	55
SWoN	tank	Week 1	68	39	28226	0	16	28
TviQ	offense	Week 1	81	29	29873	37236	23	21
Twilight	support	Week 1	75	17	29452	30453	17	25
uNKOE	support	Week 1	134	48	72987	93929	46	29
Void	tank	Week 1	223	39	96214	19	29	54
xepheR	tank	Week 1	81	28	27249	15	16	25
Yakpung	tank	Week 1	148	45	52891	0	25	42
YOUNGJIN	offense	Week 1	117	54	52624	32957	33	32
Yveltal	support	Week 1	44	36	18396	38278	18	7
ZachaREEE	offense	Week 1	131	58	48972	83835	46	36
