name	role	week	elims	deaths	damage	healing	ults	final_blows
Kyo	support	Week 1	80	35	36590	55858	30	21
lateyoung	tank	Week 1	64	21	33762	1189	17	21
Libero	offense	Week 1	172	36	45760	68779	42	40
LiNkzr	offense	Week 1	210	71	74762	77694	58	56
Luffy	support	Week 1	124	52	69754	77215	39	27
Mano	tank	Week 1	163	42	69188	0	44	44
Masaa	support	Week 1	187	61	58097	70239	41	39
MekO	tank	Week 1	188	22	65915	161	31	55
Michelle	tank	Week 1	218	30	77760	478	28	46
moth	support	Week 1	161	43	45775	87172	43	30
Muma	tank	Week 1	257	83	110974	0	62	81
Munchkin	offense	Week 1	181	58	60707	81625	52	37
Nenne	offense	Week 1	209	21	103533	0	44	68
neptuNo	support	Week 1	211	60	59284	59596	39	47
Nevix	tank	Week 1	35	10	15819	0	9	10
NiCOgdh	offense	Week 1	70	23	19130	38327	18	16
NLaaeR	offense	Week 1	68	30	21172	30281	19	13
NoSmite	tank	Week 1	142	50	55332	0	34	40
NotE	tank	Week 1	214	61	94255	0	57	77
NUS	support	Week 1	130	37	38957	63524	34	17
OGE	tank	Week 1	120	64	68418	0	38	43
Poko	tank	Week 1	234	42	81860	0	47	74
Pokpo	tank	Week 1	186	70	77555	0	44	54
Profit	offense	Week 1	165	46	55265	82728	49	49
Rascal	offense	Week 1	35	14	14447	11467	8	11
Rawkus	support	Week 1	201	72	101253	127858	64	58
rCk	tank	Week 1	108	28	54785	216	36	29
Revenge	support	Week 1	32	13	18968	31959	15	6
Ria	tank	Week 1	256	55	85739	0	39	76
Rio	tank	Week 1	133	34	51888	0	34	38
rOar	tank	Week 1	196	71	110011	0	65	63
RoKy	support	Week 1	91	36	28410	44290	22	11
ryujehong	support	Week 1	167	40	69137	110749	54	45
Sado	tank	Week 1	239	77	90580	0	46	68
Sansam	tank	Week 1	23	13	11770	0	6	4
SeoMinSoo	offense	Week 1	77	10	33050	0	12	32
Shaz	support	Week 1	175	56	106422	139471	70	49
shu	support	Week 1	118	24	40633	64520	34	30
sinatraa	offense	Week 1	196	40	120967	6320	52	62
sleepy	support	Week 1	182	36	96011	136499	64	43
SLIME	support	Week 1	69	9	15926	31720	14	11
Smurf	tank	Week 1	61	15	27703	0	17	23
SoOn	offense	Week 1	85	20	40238	0	19	31
SPACE	tank	Week 1	157	22	59451	0	28	40
SPREE	tank	Week 1	58	9	16896	33	14	17
Stellar	offense	Week 1	141	33	36825	57261	33	46
Stitch	offense	Week 1	13	9	8662	0	4	8
STRIKER	offense	Week 1	19	8	10462	0	4	8
super	tank	Week 1	129	47	68684	0	38	35
Surefour	offense	Week 1	208	54	131868	641	64	55
SWoN	tank	Week 1	68	39	28226	0	16	28
TviQ	offense	Week 1	81	29	29873	37236	23	21
Twilight	support	Week 1	75	17	29452	30453	17	25
uNKOE	support	Week 1	134	48	72987	93929	46	29
Void	tank	Week 1	223	39	96214	19	29	54
xepheR	tank	Week 1	81	28	27249	15	16	25
Yakpung	tank	Week 1	148	45	52891	0	25	42
YOUNGJIN	offense	Week 1	117	54	52624	32957	33	32
Yveltal	support	Week 1	44	36	18396	38278	18	7
ZachaREEE	offense	Week 1	131	58	48972	83835	46	36
Ado	offense	Week 2	57	30	28009	58247	28	13
Adora	offense	Week 2	42	8	12192	24143	13	8
Agilities	offense	Week 2	184	61	74198	121849	68	35
Aid	support	Week 2	207	58	91890	147112	65	38
AimGod	support	Week 2	64	28	32865	54772	25	17
aKm	offense	Week 2	170	27	68772	0	30	57
alemao	support	Week 2	0	0	0	0	0	0
ameng	tank	Week 2	198	72	83298	0	53	56
Anamo	support	Week 2	156	16	40042	48945	26	15
Architect	offense	Week 2	85	33	32975	59170	33	26
ArK	support	Week 2	17	6	4058	6737	3	2
Axxiom	tank	Week 2	43	43	25104	0	16	12
Baconjack	offense	Week 2	74	27	32961	283	20	27
Bazzi	offense	Week 2	73	39	27366	38534	27	24
Bdosin	support	Week 2	173	35	85330	89079	48	51
BEBE	support	Week 2	84	29	44731	66301	32	17
BenBest	tank	Week 2	125	36	54425	0	34	33
BigG00se	support	Week 2	97	35	31352	26013	20	14
BIRDRING	offense	Week 2	12	6	10572	15	6	7
blase	offense	Week 2	64	29	20176	35471	22	18
Boink	support	Week 2	75	44	30805	53409	26	13
Boombox	support	Week 2	0	0	0	0	0	0
bqb	offense	Week 2	242	51	108550	636	52	61
BUMPER	tank	Week 2	203	77	113806	0	68	72
carpe	offense	Week 2	188	59	105040	0	47	79
Chara	support	Week 2	143	49	54297	57249	33	26
Choihyobin	tank	Week 2	54	11	22119	0	8	15
Closer	support	Week 2	135	36	35519	49518	28	18
ColourHex	offense	Week 2	72	28	42274	162	19	20
CoMa	support	Week 2	86	11	20520	28137	16	11
coolmatt	tank	Week 2	0	0	0	0	0	0
Corey	offense	Week 2	62	38	63343	0	30	24
Custa	support	Week 2	128	40	43652	51842	31	17
Daco	tank	Week 2	114	8	33157	3	11	31
dafran	offense	Week 2	131	32	68327	493	32	48
Danteh	offense	Week 2	124	37	75962	60	39	35
DDing	offense	Week 2	120	9	45649	3505	29	32
diem	offense	Week 2	128	12	58471	448	26	42
Dogman	support	Week 2	58	6	19324	21322	12	15
EFFECT	offense	Week 2	28	19	26690	78	14	8
Eileen	offense	Week 2	64	16	27073	18239	21	17
Elk	support	Week 2	136	57	66759	82791	44	42
Elsa	tank	Week 2	218	43	78437	1163	31	73
Envy	tank	Week 2	239	52	93635	4149	40	74
eqo	offense	Week 2	164	55	59124	83013	44	27
Erster	offense	Week 2	91	9	20652	25283	20	21
Fahzix	support	Week 2	55	22	27819	41176	22	8
Fate	tank	Week 2	168	82	96378	0	56	48
Finnsi	tank	Week 2	157	19	49829	0	25	56
Fissure	tank	Week 2	96	29	42401	0	23	32
Fleta	offense	Week 2	114	25	60355	931	20	44
Fury	tank	Week 2	210	18	72646	41	30	67
Fusions	tank	Week 2	0	0	0	0	0	0
Gamsu	tank	Week 2	108	26	40287	0	24	39
Gator	tank	Week 2	0	0	0	0	0	0
Geguri	tank	Week 2	22	3	5686	0	5	4
Gesture	tank	Week 2	192	41	88884	0	54	62
Gido	support	Week 2	62	33	54995	73809	36	15
GodsB	offense	Week 2	136	37	91073	1122	37	43
Guard	offense	Week 2	173	31	52352	90144	50	29
Guxue	tank	Week 2	36	15	21796	0	12	9
HaGoPeun	support	Week 2	158	67	56728	96825	46	35
Haksal	offense	Week 2	217	50	72743	126963	70	53
Happy	offense	Week 2	189	47	112027	8138	51	67
HOTBA	tank	Week 2	191	35	70880	73	31	58
Hydration	offense	Week 2	112	38	36083	64312	36	25
Hyeonu	support	Week 2	6	7	4389	7371	4	0
HyP	support	Week 2	134	27	50197	59105	28	35
iDK	support	Week 2	90	29	34014	48858	25	12
ivy	offense	Week 2	256	68	157350	650	70	86
IZaYaKI	support	Week 2	176	60	105259	140263	70	45
Jake	offense	Week 2	106	50	38005	60579	35	31
Janus	tank	Week 2	57	48	38756	0	27	17
Jecse	support	Week 2	81	23	21954	28386	16	11
JinMu	offense	Week 2	208	76	94260	57067	58	77
JJANU	tank	Week 2	237	41	89916	0	23	69
JJONAK	support	Week 2	170	33	80888	81765	47	36
KariV	offense	Week 2	203	55	128343	587	60	57
Kellex	support	Week 2	52	27	22884	25840	14	10
Kodak	support	Week 2	52	16	28333	32321	18	15
Kris	support	Week 2	161	45	43518	61528	31	24
Kruise	support	Week 2	114	28	35547	35027	22	21
KSF	offense	Week 2	7	7	9496	0	4	2
KuKi	tank	Week 2	23	16	11549	26433	11	3
Kyb	offense	Week 2	106	23	27488	45652	26	26
Kyo	support	Week 2	160	61	66091	95109	51	40
lateyoung	tank	Week 2	136	41	51458	1516	28	30
Libero	offense	Week 2	182	28	40798	71107	37	38
LiNkzr	offense	Week 2	23	2	6506	191	5	11
Luffy	support	Week 2	100	19	40772	39991	22	33
Mano	tank	Week 2	169	34	74328	0	46	63
Masaa	support	Week 2	99	18	27234	32927	21	15
MekO	tank	Week 2	218	27	74275	121	26	69
Michelle	tank	Week 2	115	15	37806	75	12	34
moth	support	Week 2	77	33	27709	50020	23	16
Muma	tank	Week 2	103	50	57111	0	32	41
Munchkin	offense	Week 2	100	26	32258	47612	28	33
Nenne	offense	Week 2	217	26	105778	1	47	76
neptuNo	support	Week 2	131	55	47246	52112	33	22
Nevix	tank	Week 2	53	19	20990	112	7	14
NiCOgdh	offense	Week 2	130	34	35851	53496	33	23
NLaaeR	offense	Week 2	42	23	17903	20881	16	18
NoSmite	tank	Week 2	70	42	34705	0	23	17
NotE	tank	Week 2	66	35	29616	370	18	12
NUS	support	Week 2	152	27	49323	66178	34	18
OGE	tank	Week 2	165	56	77465	0	36	56
Poko	tank	Week 2	168	42	64683	130	42	44
Pokpo	tank	Week 2	110	29	49982	0	30	26
Profit	offense	Week 2	229	24	132120	3110	62	66
Rascal	offense	Week 2	0	0	0	0	0	0
Rawkus	support	Week 2	92	43	50766	72254	33	25
rCk	tank	Week 2	176	39	64052	1904	45	49
Revenge	support	Week 2	16	12	14603	16306	9	4
Ria	tank	Week 2	112	37	55930	0	26	40
Rio	tank	Week 2	179	50	81175	0	52	61
rOar	tank	Week 2	84	48	43737	0	29	28
RoKy	support	Week 2	175	58	60003	83131	43	31
ryujehong	support	Week 2	91	30	35366	48383	25	20
Sado	tank	Week 2	144	81	66302	0	38	41
Sansam	tank	Week 2	70	30	38864	207	15	19
sayaplayer	offense	Week 2	16	4	12847	667	4	9
SeoMinSoo	offense	Week 2	219	38	139736	0	63	75
Shaz	support	Week 2	97	32	49670	64964	29	20
shu	support	Week 2	155	42	79215	107427	53	41
sinatraa	offense	Week 2	110	27	81156	0	34	32
sleepy	support	Week 2	0	0	0	0	0	0
SLIME	support	Week 2	170	40	55948	79907	42	27
Smurf	tank	Week 2	9	6	6430	0	4	4
snillo	offense	Week 2	9	5	2929	4371	2	2
SoOn	offense	Week 2	148	34	62968	261	28	27
SPACE	tank	Week 2	221	40	85905	11	55	78
SPREE	tank	Week 2	111	37	54335	0	31	30
Stellar	offense	Week 2	227	62	77684	124045	66	59
Stitch	offense	Week 2	9	7	7556	0	4	3
STRIKER	offense	Week 2	11	7	7491	0	5	6
super	tank	Week 2	79	33	51410	0	31	25
Surefour	offense	Week 2	118	33	59375	0	27	40
SWoN	tank	Week 2	220	73	85050	0	43	71
TviQ	offense	Week 2	225	54	71368	76119	55	55
Twilight	support	Week 2	180	54	94165	128802	67	48
uNKOE	support	Week 2	147	49	67026	88589	43	37
Viol2t	support	Week 2	93	34	57075	81726	36	14
Void	tank	Week 2	139	20	53070	0	14	43
xepheR	tank	Week 2	211	46	73223	653	40	80
Yakpung	tank	Week 2	179	83	88192	0	51	47
YOUNGJIN	offense	Week 2	97	16	22091	35299	20	22
Yveltal	support	Week 2	103	49	35905	84059	41	18
ZachaREEE	offense	Week 2	175	53	49589	79435	49	46
Ado	offense	Week 3	0	0	0	0	0	0
Adora	offense	Week 3	0	0	0	0	0	0
Agilities	offense	Week 3	0	0	0	0	0	0
Aid	support	Week 3	0	0	0	0	0	0
AimGod	support	Week 3	0	0	0	0	0	0
aKm	offense	Week 3	0	0	0	0	0	0
alemao	support	Week 3	0	0	0	0	0	0
ameng	tank	Week 3	0	0	0	0	0	0
Anamo	support	Week 3	0	0	0	0	0	0
Architect	offense	Week 3	0	0	0	0	0	0
ArK	support	Week 3	0	0	0	0	0	0
Axxiom	tank	Week 3	0	0	0	0	0	0
Baconjack	offense	Week 3	0	0	0	0	0	0
Bazzi	offense	Week 3	0	0	0	0	0	0
Bdosin	support	Week 3	0	0	0	0	0	0
BEBE	support	Week 3	0	0	0	0	0	0
BenBest	tank	Week 3	0	0	0	0	0	0
BigG00se	support	Week 3	0	0	0	0	0	0
BIRDRING	offense	Week 3	0	0	0	0	0	0
blase	offense	Week 3	0	0	0	0	0	0
Boink	support	Week 3	0	0	0	0	0	0
Boombox	support	Week 3	0	0	0	0	0	0
bqb	offense	Week 3	0	0	0	0	0	0
BUMPER	tank	Week 3	0	0	0	0	0	0
carpe	offense	Week 3	0	0	0	0	0	0
Chara	support	Week 3	0	0	0	0	0	0
Choihyobin	tank	Week 3	0	0	0	0	0	0
Closer	support	Week 3	0	0	0	0	0	0
ColourHex	offense	Week 3	0	0	0	0	0	0
CoMa	support	Week 3	0	0	0	0	0	0
coolmatt	tank	Week 3	0	0	0	0	0	0
Corey	offense	Week 3	0	0	0	0	0	0
Custa	support	Week 3	0	0	0	0	0	0
Daco	tank	Week 3	0	0	0	0	0	0
dafran	offense	Week 3	0	0	0	0	0	0
Danteh	offense	Week 3	0	0	0	0	0	0
DDing	offense	Week 3	0	0	0	0	0	0
diem	offense	Week 3	0	0	0	0	0	0
Dogman	support	Week 3	0	0	0	0	0	0
EFFECT	offense	Week 3	0	0	0	0	0	0
Eileen	offense	Week 3	0	0	0	0	0	0
Elk	support	Week 3	0	0	0	0	0	0
Elsa	tank	Week 3	0	0	0	0	0	0
Envy	tank	Week 3	0	0	0	0	0	0
eqo	offense	Week 3	0	0	0	0	0	0
Erster	offense	Week 3	0	0	0	0	0	0
Fahzix	support	Week 3	0	0	0	0	0	0
Fate	tank	Week 3	0	0	0	0	0	0
Finnsi	tank	Week 3	0	0	0	0	0	0
Fissure	tank	Week 3	0	0	0	0	0	0
Fleta	offense	Week 3	0	0	0	0	0	0
Fury	tank	Week 3	0	0	0	0	0	0
Fusions	tank	Week 3	0	0	0	0	0	0
Gamsu	tank	Week 3	0	0	0	0	0	0
Gator	tank	Week 3	0	0	0	0	0	0
Geguri	tank	Week 3	0	0	0	0	0	0
Gesture	tank	Week 3	0	0	0	0	0	0
Gido	support	Week 3	0	0	0	0	0	0
GodsB	offense	Week 3	0	0	0	0	0	0
Guard	offense	Week 3	0	0	0	0	0	0
Guxue	tank	Week 3	0	0	0	0	0	0
HaGoPeun	support	Week 3	0	0	0	0	0	0
Haksal	offense	Week 3	0	0	0	0	0	0
Happy	offense	Week 3	0	0	0	0	0	0
HOTBA	tank	Week 3	0	0	0	0	0	0
Hydration	offense	Week 3	0	0	0	0	0	0
Hyeonu	support	Week 3	0	0	0	0	0	0
HyP	support	Week 3	0	0	0	0	0	0
iDK	support	Week 3	0	0	0	0	0	0
ivy	offense	Week 3	0	0	0	0	0	0
IZaYaKI	support	Week 3	0	0	0	0	0	0
Jake	offense	Week 3	0	0	0	0	0	0
Janus	tank	Week 3	0	0	0	0	0	0
Jecse	support	Week 3	0	0	0	0	0	0
JinMu	offense	Week 3	0	0	0	0	0	0
JJANU	tank	Week 3	0	0	0	0	0	0
JJONAK	support	Week 3	0	0	0	0	0	0
KariV	offense	Week 3	0	0	0	0	0	0
Kellex	support	Week 3	0	0	0	0	0	0
Kodak	support	Week 3	0	0	0	0	0	0
Kris	support	Week 3	0	0	0	0	0	0
Kruise	support	Week 3	0	0	0	0	0	0
KSF	offense	Week 3	0	0	0	0	0	0
KuKi	tank	Week 3	0	0	0	0	0	0
Kyb	offense	Week 3	0	0	0	0	0	0
Kyo	support	Week 3	0	0	0	0	0	0
lateyoung	tank	Week 3	0	0	0	0	0	0
Libero	offense	Week 3	0	0	0	0	0	0
LiNkzr	offense	Week 3	0	0	0	0	0	0
Luffy	support	Week 3	0	0	0	0	0	0
Mano	tank	Week 3	0	0	0	0	0	0
Masaa	support	Week 3	0	0	0	0	0	0
MekO	tank	Week 3	0	0	0	0	0	0
Michelle	tank	Week 3	0	0	0	0	0	0
moth	support	Week 3	0	0	0	0	0	0
Muma	tank	Week 3	0	0	0	0	0	0
Munchkin	offense	Week 3	0	0	0	0	0	0
Nenne	offense	Week 3	0	0	0	0	0	0
neptuNo	support	Week 3	0	0	0	0	0	0
Nevix	tank	Week 3	0	0	0	0	0	0
NiCOgdh	offense	Week 3	0	0	0	0	0	0
NLaaeR	offense	Week 3	0	0	0	0	0	0
NoSmite	tank	Week 3	0	0	0	0	0	0
NotE	tank	Week 3	0	0	0	0	0	0
NUS	support	Week 3	0	0	0	0	0	0
OGE	tank	Week 3	0	0	0	0	0	0
Poko	tank	Week 3	0	0	0	0	0	0
Pokpo	tank	Week 3	0	0	0	0	0	0
Profit	offense	Week 3	0	0	0	0	0	0
Rascal	offense	Week 3	0	0	0	0	0	0
Rawkus	support	Week 3	0	0	0	0	0	0
rCk	tank	Week 3	0	0	0	0	0	0
Revenge	support	Week 3	0	0	0	0	0	0
Ria	tank	Week 3	0	0	0	0	0	0
Rio	tank	Week 3	0	0	0	0	0	0
rOar	tank	Week 3	0	0	0	0	0	0
RoKy	support	Week 3	0	0	0	0	0	0
ryujehong	support	Week 3	0	0	0	0	0	0
Sado	tank	Week 3	0	0	0	0	0	0
Sansam	tank	Week 3	0	0	0	0	0	0
sayaplayer	offense	Week 3	0	0	0	0	0	0
SeoMinSoo	offense	Week 3	0	0	0	0	0	0
Shaz	support	Week 3	0	0	0	0	0	0
shu	support	Week 3	0	0	0	0	0	0
sinatraa	offense	Week 3	0	0	0	0	0	0
sleepy	support	Week 3	0	0	0	0	0	0
SLIME	support	Week 3	0	0	0	0	0	0
Smurf	tank	Week 3	0	0	0	0	0	0
snillo	offense	Week 3	0	0	0	0	0	0
SoOn	offense	Week 3	0	0	0	0	0	0
SPACE	tank	Week 3	0	0	0	0	0	0
SPREE	tank	Week 3	0	0	0	0	0	0
Stellar	offense	Week 3	0	0	0	0	0	0
Stitch	offense	Week 3	0	0	0	0	0	0
STRIKER	offense	Week 3	0	0	0	0	0	0
super	tank	Week 3	0	0	0	0	0	0
Surefour	offense	Week 3	0	0	0	0	0	0
SWoN	tank	Week 3	0	0	0	0	0	0
TviQ	offense	Week 3	0	0	0	0	0	0
Twilight	support	Week 3	0	0	0	0	0	0
uNKOE	support	Week 3	0	0	0	0	0	0
Viol2t	support	Week 3	0	0	0	0	0	0
Void	tank	Week 3	0	0	0	0	0	0
xepheR	tank	Week 3	0	0	0	0	0	0
Yakpung	tank	Week 3	0	0	0	0	0	0
YOUNGJIN	offense	Week 3	0	0	0	0	0	0
Yveltal	support	Week 3	0	0	0	0	0	0
ZachaREEE	offense	Week 3	0	0	0	0	0	0
